PART_NO,EQP_NO,STOCK_EVENT_TIME,QTY,PM,TS
85-ECT0010,ECT11,2015-10-31,3,2.0,1.0
85-ECT0010,ECT11,2015-11-30,4,3.0,1.0
85-ECT0010,ECT11,2015-12-31,4,4.0,0.0
85-ECT0010,ECT11,2016-01-31,4,4.0,0.0
85-ECT0010,ECT11,2016-02-29,3,3.0,0.0
85-ECT0010,ECT11,2016-03-31,4,4.0,0.0
85-ECT0010,ECT11,2016-04-30,5,5.0,0.0
85-ECT0010,ECT11,2016-05-31,4,4.0,0.0
85-ECT0010,ECT11,2016-06-30,4,4.0,0.0
85-ECT0010,ECT11,2016-07-31,4,4.0,0.0
85-ECT0010,ECT11,2016-08-31,5,5.0,0.0
85-ECT0010,ECT11,2016-09-30,3,3.0,0.0
85-ECT0010,ECT11,2016-10-31,4,4.0,0.0
85-ECT0010,ECT11,2016-11-30,6,6.0,0.0
85-ECT0010,ECT11,2016-12-31,4,4.0,0.0
85-ECT0010,ECT11,2017-01-31,4,4.0,0.0
85-ECT0010,ECT11,2017-02-28,6,6.0,0.0
85-ECT0010,ECT11,2017-03-31,3,3.0,0.0
85-ECT0010,ECT11,2017-04-30,4,4.0,0.0
85-ECT0010,ECT11,2017-05-31,4,4.0,0.0
85-ECT0010,ECT11,2017-06-30,5,5.0,0.0
85-ECT0010,ECT11,2017-07-31,6,6.0,0.0
85-ECT0010,ECT11,2017-08-31,5,5.0,0.0
85-ECT0010,ECT11,2017-09-30,3,3.0,0.0
85-ECT0010,ECT11,2017-10-31,5,5.0,0.0
85-ECT0010,ECT11,2017-11-30,3,3.0,0.0
85-ECT0010,ECT11,2017-12-31,4,4.0,0.0
85-ECT0010,ECT11,2018-01-31,4,4.0,0.0
85-ECT0010,ECT11,2018-02-28,3,3.0,0.0
85-ECT0010,ECT11,2018-03-31,5,5.0,0.0
85-ECT0010,ECT11,2018-04-30,5,5.0,0.0
85-ECT0010,ECT11,2018-05-31,6,6.0,0.0
85-ECT0010,ECT11,2018-06-30,3,3.0,0.0
85-ECT0010,ECT11,2018-07-31,5,5.0,0.0
85-ECT0010,ECT11,2018-08-31,5,5.0,0.0
85-ECT0010,ECT11,2018-09-30,3,3.0,0.0
85-ECT0010,ECT11,2018-10-31,4,4.0,0.0
85-ECT0010,ECT11,2018-11-30,2,2.0,0.0
85-ECT0010,ECT11,2018-12-31,0,0.0,0.0
85-ECT0010,ECT11,2019-01-31,1,1.0,0.0
85-ECT0010,ECT11,2019-02-28,0,0.0,0.0
85-ECT0010,ECT11,2019-03-31,0,0.0,0.0
85-ECT0010,ECT11,2019-04-30,3,3.0,0.0
85-ECT0010,ECT11,2019-05-31,2,2.0,0.0
85-ECT0010,ECT11,2019-06-30,3,3.0,0.0
85-ECT0010,ECT11,2019-07-31,3,3.0,0.0
85-ECT0010,ECT11,2019-08-31,5,5.0,0.0
85-ECT0010,ECT11,2019-09-30,1,1.0,0.0
85-ECT0010,ECT11,2019-10-31,3,3.0,0.0
85-ECT0010,ECT11,2019-11-30,3,3.0,0.0
85-ECT0010,ECT11,2019-12-31,3,3.0,0.0
85-ECT0010,ECT11,2020-01-31,5,5.0,0.0
85-ECT0010,ECT11,2020-02-29,4,4.0,0.0
85-ECT0010,ECT11,2020-03-31,3,3.0,0.0
85-ECT0010,ECT11,2020-04-30,3,3.0,0.0
85-ECT0010,ECT11,2020-05-31,3,3.0,0.0
85-ECT0010,ECT11,2020-06-30,6,6.0,0.0
85-ECT0010,ECT11,2020-07-31,3,3.0,0.0
85-ECT0010,ECT11,2020-08-31,4,4.0,0.0
